514,Yes,,"Remote Shell, used to execute non-interactive commands on a remote system (Remote Shell, rsh, remsh) ",Unofficial
,No,Yes,"Syslog,[10] used for system logging ",Official 
515,Yes,Assigned,"Line Printer Daemon (LPD),[10] print service ",Official
517,,Yes,Talk ,Official
518,,Yes,NTalk ,Official
520,Yes,,"efs, extended file name server ",Official
,,Yes,Routing Information Protocol (RIP),Official 
521,,Yes,Routing Information Protocol Next Generation (RIPng) ,Official
524,Yes,Yes,"NetWare Core Protocol (NCP) is used for a variety things such as access to primary NetWare server resources, Time Synchronization, etc. ",Official
525,,Yes,"Timed, Timeserver ",Official
530,Yes,Yes,Remote procedure call (RPC) ,Official
532,Yes,Assigned,netnews[10] ,Official
533,,Yes,"netwall, For Emergency Broadcasts ",Official
540,Yes,,Unix-to-Unix Copy Protocol (UUCP) ,Official
542,Yes,Yes,commerce (Commerce Applications) ,Official
543,Yes,,"klogin, Kerberos login ",Official
544,Yes,,"kshell, Kerberos Remote shell ",Official
546,Yes,Yes,DHCPv6 client ,Official
547,Yes,Yes,DHCPv6 server ,Official
548,Yes,Assigned,Apple Filing Protocol (AFP) over TCP[10] ,Official
550,Yes,Yes,"new-rwho, new-who[87] ",Official
554,Yes,Yes,Real Time Streaming Protocol (RTSP)[10] ,Official
556,Yes,,"Remotefs, RFS, rfs_server ",Official
560,,Yes,"rmonitor, Remote Monitor ",Official
561,,Yes,monitor ,Official
563,Yes,Yes,NNTP over TLS/SSL (NNTPS) ,Official
564,Yes,,9P (Plan 9) ,Unofficial
585,Port 993,?,"Legacy use of Internet Message Access Protocol over TLS/SSL (IMAPS), now in use at port 993.[88] ",Unofficial
587,Yes,Assigned,email message submission[10][89] (SMTP) ,Official
591,Yes,,"FileMaker 6.0 (and later) Web Sharing (HTTP Alternate, also see port 80) ",Official
593,Yes,Yes,"HTTP RPC Ep Map, Remote procedure call over Hypertext Transfer Protocol, often used by Distributed Component Object Model services and Microsoft Exchange Server ",Official
601,Yes,,Reliable Syslog Service — used for system logging ,Official
604,Yes,,"TUNNEL profile,[90] a protocol for BEEP peers to form an application layer tunnel ",Official
623,,Yes,ASF Remote Management and Control Protocol (ASF-RMCP) & IPMI Remote Management Protocol ,Official
625,Yes,No,Open Directory Proxy (ODProxy)[10] ,Unofficial
631,Yes,Yes,Internet Printing Protocol (IPP)[10] ,Official
,Yes,Yes,Common Unix Printing System (CUPS) administration console (extension to IPP),Unofficial 
635,Yes,Yes,RLZ DBase ,Official
636,Yes,Assigned,Lightweight Directory Access Protocol over TLS/SSL (LDAPS)[10] ,Official
639,Yes,Yes,"MSDP, Multicast Source Discovery Protocol ",Official
641,Yes,Yes,"SupportSoft Nexus Remote Command (control/listening), a proxy gateway connecting remote control traffic ",Official
643,Yes,Yes,SANity ,Official
646,Yes,Yes,"Label Distribution Protocol (LDP), a routing protocol used in MPLS networks ",Official
647,Yes,,DHCP Failover protocol[91] ,Official
648,Yes,,Registry Registrar Protocol (RRP)[92] ,Official
651,Yes,Yes,IEEE-MMS ,Official
653,Yes,Yes,"SupportSoft Nexus Remote Command (data), a proxy gateway connecting remote control traffic ",Official
654,Yes,,Media Management System (MMS) Media Management Protocol (MMP)[93] ,Official
655,Yes,Yes,Tinc VPN daemon ,Official
657,Yes,Yes,"IBM RMC (Remote monitoring and Control) protocol, used by System p5 AIX Integrated Virtualization Manager (IVM)[94] and Hardware Management Console to connect managed logical partitions (LPAR) to enable dynamic partition reconfiguration ",Official
660,Yes,Assigned,"macOS Server administration,[1] version 10.4 and earlier[10] ",Official
666 ,Yes,Yes,"Doom, first online first-person shooter ",Official
,Yes,,"airserv-ng, aircrack-ng's server for remote-controlling wireless devices ",Unofficial 
674,Yes,,Application Configuration Access Protocol (ACAP) ,Official
688,Yes,Yes,REALM-RUSD (ApplianceWare Server Appliance Management Protocol) ,Official
690,Yes,Yes,Velneo Application Transfer Protocol (VATP) ,Official
691,Yes,,MS Exchange Routing ,Official
694,Yes,Yes,Linux-HA high-availability heartbeat ,Official
695,Yes,,IEEE Media Management System over SSL (IEEE-MMS-SSL)[95] ,Official
698,,Yes,Optimized Link State Routing (OLSR) ,Official
700,Yes,,"Extensible Provisioning Protocol (EPP), a protocol for communication between domain name registries and registrars (RFC 5734) ",Official
701,Yes,,"Link Management Protocol (LMP),[96] a protocol that runs between a pair of nodes and is used to manage traffic engineering (TE) links ",Official
702,Yes,,IRIS[97][98] (Internet Registry Information Service) over BEEP (Blocks Extensible Exchange Protocol)[99] (RFC 3983) ,Official
706,Yes,,Secure Internet Live Conferencing (SILC) ,Official
711,Yes,,Cisco Tag Distribution Protocol[100][101][102]—being replaced by the MPLS Label Distribution Protocol[103] ,Official
712,Yes,,Topology Broadcast based on Reverse-Path Forwarding routing protocol (TBRPF; RFC 3684) ,Official
749,Yes,Yes,Kerberos (protocol) administration[10] ,Official
750,,Yes,"kerberos-iv, Kerberos version IV ",Official
751,Yes,Yes,"kerberos_master, Kerberos authentication ",Unofficial
752,,Yes,"passwd_server, Kerberos password (kpasswd) server ",Unofficial
753,Yes,Yes,Reverse Routing Header (RRH)[104] ,Official
,,Yes,"userreg_server, Kerberos userreg server ",Unofficial 
754,Yes,Yes,tell send ,Official
,Yes,,"krb5_prop, Kerberos v5 slave propagation",Unofficial 
760,Yes,Yes,"krbupdate [kreg], Kerberos registration ",Unofficial
782,Yes,,Conserver serial-console management server ,Unofficial
783,Yes,,SpamAssassin spamd daemon ,Unofficial
800,Yes,Yes,mdbs-daemon ,Official
802,Yes,Yes,MODBUS/TCP Security[105] ,Official
808,Yes,,Microsoft Net.TCP Port Sharing Service ,Unofficial
829,Yes,Assigned,Certificate Management Protocol[106] ,Official
830,Yes,Yes,NETCONF over SSH ,Official
831,Yes,Yes,NETCONF over BEEP ,Official
832,Yes,Yes,NETCONF for SOAP over HTTPS ,Official
833,Yes,Yes,NETCONF for SOAP over BEEP ,Official
843,Yes,,Adobe Flash[107] ,Unofficial
847,Yes,,DHCP Failover protocol ,Official
848,Yes,Yes,Group Domain Of Interpretation (GDOI) protocol ,Official
853,Yes,Yes,DNS over TLS (RFC 7858) ,Official
860,Yes,,iSCSI (RFC 3720) ,Official
861,Yes,Yes,OWAMP control (RFC 4656) ,Official
862,Yes,Yes,TWAMP control (RFC 5357) ,Official
873,Yes,,rsync file synchronization protocol ,Official
888,Yes,,"cddbp, CD DataBase (CDDB) protocol (CDDBP) ",Unofficial
,Yes,,IBM Endpoint Manager Remote Control,Unofficial 
897,Yes,Yes,Brocade SMI-S RPC ,Unofficial
898,Yes,Yes,Brocade SMI-S RPC SSL ,Unofficial
902,Yes,Yes,VMware ESXi[108][109] ,Unofficial
903,Yes,,VMware ESXi[108][109] ,Unofficial
953,Yes,Reserved,BIND remote name daemon control (RNDC)[110][111] ,Official
981,Yes,,Remote HTTPS management for firewall devices running embedded Check Point VPN-1 software[112] ,Unofficial
987,Yes,,"Microsoft Remote Web Workplace, a feature of Windows Small Business Server[113] ",Unofficial
989,Yes,Yes,"FTPS Protocol (data), FTP over TLS/SSL ",Official
990,Yes,Yes,"FTPS Protocol (control), FTP over TLS/SSL ",Official
991,Yes,Yes,Netnews Administration System (NAS)[114] ,Official
992,Yes,Yes,Telnet protocol over TLS/SSL ,Official
993,Yes,Assigned,Internet Message Access Protocol over TLS/SSL (IMAPS)[10] ,Official
994,Reserved,Reserved,,Official
,Maybe,Maybe,"Internet Relay Chat over TLS/SSL (IRCS). Previously assigned, but not used in common practice.",Unofficial 
995,Yes,Yes,Post Office Protocol 3 over TLS/SSL (POP3S)[10] ,Official
1010,Yes,,ThinLinc web-based administration interface[115] ,Unofficial
1011–1020,Reserved,Reserved,,Official
1023,Reserved,Reserved,[1],Official 
,Yes,Yes,z/OS Network File System (NFS) (potentially ports 991–1023)[78][79][116] ,Unofficial 
1024,Reserved,Reserved,Reserved,Official 
1027,Reserved,,Reserved,Official 
,,Yes,Native IPv6 behind IPv4-to-IPv4 NAT Customer Premises Equipment (6a44)[117],Official 
1028,,,Deprecated,Official 
1029,,,Microsoft DCOM services,Unofficial 
1058,Yes,Yes,"nim, IBM AIX Network Installation Manager (NIM)",Official 
1059,Yes,Yes,"nimreg, IBM AIX Network Installation Manager (NIM)",Official 
1080,Yes,Yes,SOCKS proxy,Official 
1085,Yes,Yes,WebObjects[10],Official 
1098,Yes,Yes,"rmiactivation, Java remote method invocation (RMI) activation",Official 
1099,Yes,Assigned,"rmiregistry, Java remote method invocation (RMI) registry",Official 
1109,,,Reserved – IANA,Official 
,Yes,,Kerberos Post Office Protocol (KPOP)[citation needed],Unofficial 
1113,Assigned[note 1][118],Yes[119],Licklider Transmission Protocol (LTP) delay tolerant networking protocol,Official 
1119,Yes,Yes,"Battle.net chat/game protocol, used by Blizzard's games[120]",Official 
1167,"Yes, and SCTP",Yes,Cisco IP SLA (Service Assurance Agent),Official 
1194,Yes,Yes,OpenVPN,Official 
1198,Yes,Yes,The cajo project Free dynamic transparent distributed computing in Java,Official 
1214,Yes,Yes,Kazaa,Official 
1218,Yes,No,William POWER,Official 
1220,Yes,Assigned,QuickTime Streaming Server administration[10],Official 
1234,Yes,Yes,Infoseek search agent,Official 
,,Yes,VLC media player default port for UDP/RTP stream,Unofficial 
1241,Yes,Yes,Nessus Security Scanner,Official 
1270,Yes,Yes,Microsoft System Center Operations Manager (SCOM) (formerly Microsoft Operations Manager (MOM)) agent,Official 
1293,Yes,Yes,Internet Protocol Security (IPSec),Official 
1311,Yes,Yes,Windows RxMon.exe,Official 
,Yes,,Dell OpenManage HTTPS[121],Unofficial 
1314,?,?,Festival Speech Synthesis System server[122],Unofficial 
1337 ,Yes,,neo4j-shell[citation needed],Unofficial 
,Yes,,Strapi[123],Unofficial 
,Yes,?,Sails.js default port[124],Unofficial 
,Yes,,WASTE Encrypted File Sharing Program[citation needed],Unofficial 
1341,Yes,Yes,Qubes (Manufacturing Execution System),Official 
1344,Yes,Yes,Internet Content Adaptation Protocol,Official 
1352,Yes,Yes,IBM Lotus Notes/Domino (RPC) protocol,Official 
1360,Yes,Yes,Mimer SQL,Official 
1414,Yes,Yes,IBM WebSphere MQ (formerly known as MQSeries),Official 
1417,Yes,Yes,Timbuktu Service 1 Port,Official 
1418,Yes,Yes,Timbuktu Service 2 Port,Official 
1419,Yes,Yes,Timbuktu Service 3 Port,Official 
1420,Yes,Yes,Timbuktu Service 4 Port,Official 
1431,Yes,,"Reverse Gossip Transport Protocol (RGTP), used to access a General-purpose Reverse-Ordered Gossip Gathering System (GROGGS) bulletin board, such as that implemented on the Cambridge University's Phoenix system",Official 
1433,Yes,Yes,Microsoft SQL Server database management system (MSSQL) server,Official 
1434,Yes,Yes,Microsoft SQL Server database management system (MSSQL) monitor,Official 
1481,Yes,Yes,AIRS data interchange.,Official 
1492,Yes,,"Sid Meier's CivNet, a multiplayer remake of the original Sid Meier's Civilization game[citation needed]",Unofficial 
1494,Yes,Yes,Citrix Independent Computing Architecture (ICA)[125],Unofficial 
1500,Yes,,IBM Tivoli Storage Manager server[126],Unofficial 
1501,Yes,,IBM Tivoli Storage Manager client scheduler[126],Unofficial 
1503,Yes,Yes,Windows Live Messenger (Whiteboard and Application Sharing)[127],Unofficial 
1512,Yes,Yes,Microsoft's Windows Internet Name Service (WINS),Official 
1513,Yes,Yes,Garena game client[citation needed],Unofficial 
1521,Yes,Yes,nCUBE License Manager,Official 
,Yes,,"Oracle database default listener, in future releases[when?][128] official port 2483 (TCP/IP) and 2484 (TCP/IP with SSL)",Unofficial 
1524,Yes,Yes,"ingreslock, ingres",Official 
1527,Yes,Yes,"Oracle Net Services, formerly known as SQL*Net[129]",Official 
,Yes,,Apache Derby Network Server[130],Unofficial 
1533,Yes,Yes,IBM Sametime Virtual Places Chat,Official 
1534,No,Yes,Eclipse Target Communication Framework[131],Unofficial 
1540,Yes,Yes,1C:Enterprise server agent (ragent)[132][133],Unofficial 
1541,Yes,Yes,1C:Enterprise master cluster manager (rmngr)[132],Unofficial 
1542,Yes,Yes,1C:Enterprise configuration repository server[132],Unofficial 
1545,Yes,Yes,1C:Enterprise cluster administration server (RAS)[132],Unofficial 
1547,Yes,Yes,Laplink,Official 
1550,Yes,Yes,1C:Enterprise debug server[132],Unofficial 
,Yes,,Gadu-Gadu (direct client-to-client)[citation needed],Unofficial 
1560–1590,Yes,Yes,1C:Enterprise cluster working processes[132],Unofficial 
1581,Yes,Yes,MIL STD 2045-47001 VMF,Official 
,Yes,,IBM Tivoli Storage Manager web client[126],Unofficial 
1582–1583,Yes,,IBM Tivoli Storage Manager server web interface[126],Unofficial 
1583,?,?,Pervasive PSQL[134],Unofficial 
1589,Yes,Yes,Cisco VLAN Query Protocol (VQP),Official 
1604,Yes,Yes,DarkComet remote administration tool (RAT)[citation needed],Unofficial 
1626,Yes,?,iSketch[135],Unofficial 
1627,Yes,?,iSketch[135],Unofficial 
1628,Yes,Yes,LonTalk normal,Official 
1629,Yes,Yes,LonTalk urgent,Official 
1645,,Yes,Early deployment of RADIUS before RFC standardization was done using UDP port number 1645. Enabled for compatibility reasons by default on Cisco[citation needed] and Juniper Networks RADIUS servers.[136] Official port is 1812. TCP port 1645 must not be used.[137],Unofficial 
1646,,Yes,"Old radacct port,[when?] RADIUS accounting protocol. Enabled for compatibility reasons by default on Cisco[citation needed] and Juniper Networks RADIUS servers.[136] Official port is 1813. TCP port 1646 must not be used.[137]",Unofficial 
1666,Yes,,Perforce[138],Unofficial 
1677,Yes,Yes,Novell GroupWise clients in client/server access mode,Official 
1688,Yes,,Microsoft Key Management Service (KMS) for Windows Activation[139],Unofficial 
1701,Yes,Yes,Layer 2 Forwarding Protocol (L2F),Official 
,Assigned,Yes,Layer 2 Tunneling Protocol (L2TP)[10],Official 
1707,Yes,Yes,Windward Studios games (vdmplay),Official 
,,Yes,"L2TP/IPsec, for establish an initial connection[140]",Unofficial 
1716,,Yes,"America's Army, a massively multiplayer online game (MMO)[141]",Unofficial 
1719,Yes,Yes,H.323 registration and alternate communication,Official 
1720,Yes,Yes,H.323 call signaling,Official 
1723,Yes,Assigned,Point-to-Point Tunneling Protocol (PPTP)[10],Official 
1755,Yes,Yes,"Microsoft Media Services (MMS, ms-streaming)",Official 
1761,Yes,Yes,Novell ZENworks[142][143],Unofficial 
1776,,,Federal Emergency Management Information System,Official 
1783,,,"Decomissioned [sic] Port 04/14/00, ms",Official 
1801,Yes,Yes,Microsoft Message Queuing,Official 
1812,Yes,Yes,"RADIUS authentication protocol, radius",Official 
1813,Yes,Yes,"RADIUS accounting protocol, radius-acct",Official 
1863,Yes,Yes,"Microsoft Notification Protocol (MSNP), used by the Microsoft Messenger service and a number of instant messaging Messenger clients",Official 
1880,?,?,Node-RED[144],Unofficial 
1883,Yes,Yes,MQTT (formerly MQ Telemetry Transport),Official 
1900,Assigned,Yes,"Simple Service Discovery Protocol (SSDP),[10] discovery of UPnP devices",Official 
1935,Yes,Yes,"Macromedia Flash Communications Server MX, the precursor to Adobe Flash Media Server before Macromedia's acquisition by Adobe on December 3, 2005",Official 
,Yes,Yes,"Real Time Messaging Protocol (RTMP)[citation needed], primarily used in Adobe Flash[145]",Unofficial 
1965,Yes,No,"Gemini protocol, a lightweight, collaboratively designed protocol, striving to fill the gap between Gopher and HTTP[146]",Unofficial 
1967,,Yes,Cisco IOS IP Service Level Agreements (IP SLAs) Control Protocol[citation needed],Unofficial 
1970,Yes,Yes,Netop Remote Control,Official 
1972,Yes,Yes,InterSystems Caché,Official 
1984,Yes,Yes,Big Brother,Official 
1985,Assigned,Yes,Cisco Hot Standby Router Protocol (HSRP)[147][self-published source],Official 
1998,Yes,Yes,Cisco X.25 over TCP (XOT) service,Official 
2000,Yes,Yes,Cisco Skinny Client Control Protocol (SCCP),Official 
2010,?,?,Artemis: Spaceship Bridge Simulator[148],Unofficial 
2033,Yes,Yes,Civilization IV multiplayer[149],Unofficial 
2049,"Yes, and SCTP",Yes,Network File System (NFS)[10],Official 
2056,Yes,Yes,Civilization IV multiplayer[149],Unofficial 
